umgebung,merkmal,wert_von,wert_bis,beitrag_mittel,zeilen
low,avg_latency_ms,5.9,24.36,-0.7199,20
low,avg_latency_ms,24.46,42.4,-0.4565,19
low,avg_latency_ms,43.69,198.65,0.6902,19
low,avg_latency_ms,420.47,2006.93,0.2904,19
low,avg_latency_ms,2008.74,11996.58,0.222,20
low,p95_latency_ms,7.0,90.0,-0.0819,20
low,p95_latency_ms,92.0,190.0,-0.6998,19
low,p95_latency_ms,200.0,410.0,-1.1187,19
low,p95_latency_ms,820.0,3400.0,0.9613,19
low,p95_latency_ms,3600.0,19000.0,0.8963,20
low,requests_per_sec,0.4,3.65,0.5397,20
low,requests_per_sec,3.7,15.73,-0.7022,19
low,requests_per_sec,28.1,36.74,1.3778,19
low,requests_per_sec,37.07,40.2,-0.8657,19
low,requests_per_sec,40.3,109.22,-0.3591,20
medium,avg_latency_ms,5.3,67.97,-0.3524,20
medium,avg_latency_ms,69.26,223.69,-0.0135,19
medium,avg_latency_ms,228.93,2299.25,0.1657,19
medium,avg_latency_ms,2349.15,5606.79,0.1093,19
medium,avg_latency_ms,5658.78,27197.21,0.1039,20
medium,p95_latency_ms,7.0,280.0,-0.2085,20
medium,p95_latency_ms,290.0,500.0,-0.6011,20
medium,p95_latency_ms,510.0,3300.0,-0.4407,18
medium,p95_latency_ms,4100.0,9800.0,0.6707,19
medium,p95_latency_ms,9900.0,46000.0,0.5691,20
medium,requests_per_sec,0.35,3.51,1.459,20
medium,requests_per_sec,3.6,8.51,-0.9818,19
medium,requests_per_sec,8.88,59.41,0.9901,19
medium,requests_per_sec,59.6,84.59,-0.1844,19
medium,requests_per_sec,85.5,110.03,-1.2916,20
high,avg_latency_ms,9.1,251.35,-0.0411,20
high,avg_latency_ms,273.3,542.67,-0.1466,19
high,avg_latency_ms,561.23,7141.24,-0.1379,19
high,avg_latency_ms,7819.16,10907.8,-0.1742,19
high,avg_latency_ms,11041.63,36874.94,0.4769,20
high,p95_latency_ms,17.0,450.0,-0.4847,20
high,p95_latency_ms,460.0,760.0,-0.6148,19
high,p95_latency_ms,890.0,15000.0,1.1653,20
high,p95_latency_ms,16000.0,30000.0,0.8192,20
high,p95_latency_ms,31000.0,68000.0,-1.0176,18
high,requests_per_sec,0.73,3.02,2.9437,20
high,requests_per_sec,3.05,4.34,-1.9678,20
high,requests_per_sec,4.4,48.96,1.0405,18
high,requests_per_sec,50.49,83.24,-0.084,19
high,requests_per_sec,86.78,215.39,-1.8325,20
extreme,avg_latency_ms,11.45,320.36,-0.2343,20
extreme,avg_latency_ms,326.2,862.81,-0.1271,19
extreme,avg_latency_ms,983.38,8772.9,-0.2164,19
extreme,avg_latency_ms,9556.33,14103.45,-0.0122,19
extreme,avg_latency_ms,14128.74,44660.62,0.5722,20
extreme,p95_latency_ms,22.0,440.0,-0.1342,20
extreme,p95_latency_ms,460.0,730.0,-0.5287,19
extreme,p95_latency_ms,890.0,18000.0,0.9346,19
extreme,p95_latency_ms,19000.0,32000.0,0.5371,19
extreme,p95_latency_ms,33000.0,79000.0,-0.7616,20
extreme,requests_per_sec,0.34,3.1,2.7113,20
extreme,requests_per_sec,3.11,4.46,-1.5115,19
extreme,requests_per_sec,4.47,40.32,1.2054,19
extreme,requests_per_sec,44.72,90.56,-0.3851,19
extreme,requests_per_sec,91.71,234.94,-2.0546,20
prod,avg_latency_ms,9.03,47.45,-0.3886,20
prod,avg_latency_ms,47.86,180.54,0.2008,19
prod,avg_latency_ms,183.49,2162.42,0.0975,19
prod,avg_latency_ms,2499.54,6139.41,-0.0032,19
prod,avg_latency_ms,6150.48,30733.97,0.1083,20
prod,p95_latency_ms,11.0,250.0,0.0412,20
prod,p95_latency_ms,260.0,380.0,-1.3926,20
prod,p95_latency_ms,400.0,2800.0,-0.0274,18
prod,p95_latency_ms,3900.0,11000.0,0.9874,23
prod,p95_latency_ms,12000.0,50000.0,0.3007,16
prod,requests_per_sec,0.52,3.34,1.9118,20
prod,requests_per_sec,3.35,8.07,-0.8935,19
prod,requests_per_sec,9.49,59.37,1.2846,19
prod,requests_per_sec,61.86,91.79,-0.6978,19
prod,requests_per_sec,92.17,113.01,-1.6205,20
