target_method,env,requests_per_sec,p95_latency_ms,avg_latency_ms
pos_001_post_add_article,extreme,86.3,520.0,354.9
pos_001_post_add_article,high,70.68,530.0,328.22
pos_001_post_add_article,low,36.02,260.0,37.4
pos_001_post_add_article,medium,80.42,370.0,83.71
pos_001_post_add_article,prod,90.73,280.0,50.81
pos_002_get_list_by_filters,extreme,81.3,560.0,388.2
pos_002_get_list_by_filters,high,66.93,660.0,361.63
pos_002_get_list_by_filters,low,34.94,270.0,49.15
pos_002_get_list_by_filters,medium,79.15,420.0,89.81
pos_002_get_list_by_filters,prod,91.41,280.0,50.02
pos_003_post_article_add_many_tag,extreme,97.22,420.0,291.94
pos_003_post_article_add_many_tag,high,63.43,630.0,391.77
pos_003_post_article_add_many_tag,low,34.72,280.0,52.8
pos_003_post_article_add_many_tag,medium,57.3,560.0,198.29
pos_003_post_article_add_many_tag,prod,81.88,370.0,77.12
pos_004_get_articles_favorite_exists,extreme,97.73,440.0,289.69
pos_004_get_articles_favorite_exists,high,64.16,760.0,384.09
pos_004_get_articles_favorite_exists,low,35.85,250.0,42.4
pos_004_get_articles_favorite_exists,medium,59.6,550.0,183.55
pos_004_get_articles_favorite_exists,prod,84.76,380.0,68.75
pos_005_post_article_comment_into_repository,extreme,88.66,500.0,338.46
pos_005_post_article_comment_into_repository,high,72.25,580.0,317.63
pos_005_post_article_comment_into_repository,low,37.41,220.0,33.23
pos_005_post_article_comment_into_repository,medium,81.75,430.0,80.12
pos_005_post_article_comment_into_repository,prod,92.69,250.0,46.25
pos_006_get_follower_list,extreme,93.93,480.0,308.83
pos_006_get_follower_list,high,83.24,470.0,251.35
pos_006_get_follower_list,low,37.72,230.0,31.34
pos_006_get_follower_list,medium,84.59,400.0,69.26
pos_006_get_follower_list,prod,95.04,260.0,41.22
pos_007_post_create_follow_in_repository,extreme,135.3,410.0,252.46
pos_007_post_create_follow_in_repository,high,117.31,350.0,218.23
pos_007_post_create_follow_in_repository,low,58.65,170.0,47.83
pos_007_post_create_follow_in_repository,medium,70.27,490.0,223.69
pos_007_post_create_follow_in_repository,prod,89.33,380.0,154.65
pos_008_post_create_new_article,extreme,84.93,540.0,361.96
pos_008_post_create_new_article,high,71.12,600.0,327.32
pos_008_post_create_new_article,low,34.76,270.0,49.82
pos_008_post_create_new_article,medium,84.13,280.0,72.56
pos_008_post_create_new_article,prod,91.78,310.0,47.97
pos_009_delete_article_by_slug,extreme,155.12,330.0,207.51
pos_009_delete_article_by_slug,high,96.76,560.0,285.35
pos_009_delete_article_by_slug,low,61.69,240.0,38.29
pos_009_delete_article_by_slug,medium,74.2,520.0,205.41
pos_009_delete_article_by_slug,prod,111.1,340.0,104.41
pos_010_post_sign_in_user,extreme,4.47,24000.0,9784.8
pos_010_post_sign_in_user,high,4.34,16000.0,7819.16
pos_010_post_sign_in_user,low,4.06,3100.0,1903.7
pos_010_post_sign_in_user,medium,4.39,6600.0,4795.53
pos_010_post_sign_in_user,prod,4.81,6100.0,4346.5
pos_011_post_create_user,extreme,4.46,21000.0,10055.86
pos_011_post_create_user,high,4.34,19000.0,7941.22
pos_011_post_create_user,low,4.09,2700.0,1832.22
pos_011_post_create_user,medium,4.29,7400.0,4886.23
pos_011_post_create_user,prod,4.82,6600.0,4413.63
pos_012_post_follow_user,extreme,134.84,390.0,253.36
pos_012_post_follow_user,high,116.64,310.0,221.36
pos_012_post_follow_user,low,53.9,270.0,58.93
pos_012_post_follow_user,medium,68.54,500.0,233.0
pos_012_post_follow_user,prod,89.54,380.0,152.99
pos_013_get_article_comments,extreme,87.83,510.0,344.45
pos_013_get_article_comments,high,62.82,890.0,397.24
pos_013_get_article_comments,low,33.54,280.0,57.34
pos_013_get_article_comments,medium,64.49,520.0,152.8
pos_013_get_article_comments,prod,88.21,340.0,57.83
pos_015_get_global_article_feed,extreme,78.12,590.0,411.17
pos_015_get_global_article_feed,high,64.72,900.0,378.6
pos_015_get_global_article_feed,low,37.2,230.0,35.05
pos_015_get_global_article_feed,medium,70.26,510.0,124.03
pos_015_get_global_article_feed,prod,88.01,360.0,59.14
pos_016_post_create_article,extreme,85.98,530.0,354.83
pos_016_post_create_article,high,73.1,540.0,311.22
pos_016_post_create_article,low,35.98,250.0,42.22
pos_016_post_create_article,medium,83.14,460.0,76.4
pos_016_post_create_article,prod,93.76,200.0,43.52
pos_017_post_login_user,extreme,4.45,24000.0,9800.27
pos_017_post_login_user,high,4.26,16000.0,7945.64
pos_017_post_login_user,low,4.02,3400.0,1897.27
pos_017_post_login_user,medium,4.33,6500.0,4818.26
pos_017_post_login_user,prod,4.8,5700.0,4339.08
pos_018_post_create_comment,extreme,85.12,530.0,362.57
pos_018_post_create_comment,high,72.21,670.0,318.62
pos_018_post_create_comment,low,36.42,250.0,39.4
pos_018_post_create_comment,medium,83.57,380.0,73.61
pos_018_post_create_comment,prod,91.79,260.0,47.86
pos_019_post_follow_username,extreme,128.31,460.0,271.18
pos_019_post_follow_username,high,121.02,320.0,209.29
pos_019_post_follow_username,low,63.26,180.0,37.0
pos_019_post_follow_username,medium,69.27,540.0,228.93
pos_019_post_follow_username,prod,89.1,380.0,154.46
pos_020_put_update_current_user,extreme,94.28,500.0,305.69
pos_020_put_update_current_user,high,89.64,460.0,217.75
pos_020_put_update_current_user,low,38.36,200.0,29.57
pos_020_put_update_current_user,medium,87.08,360.0,62.06
pos_020_put_update_current_user,prod,93.36,300.0,45.54
pos_021_get_current_user,extreme,128.77,410.0,171.17
pos_021_get_current_user,high,119.04,370.0,114.91
pos_021_get_current_user,low,39.04,180.0,23.91
pos_021_get_current_user,medium,92.56,290.0,46.27
pos_021_get_current_user,prod,97.9,190.0,32.48
pos_022_create_note,extreme,102.23,470.0,267.14
pos_022_create_note,high,136.11,220.0,74.77
pos_022_create_note,low,41.25,13.0,10.7
pos_022_create_note,medium,87.89,330.0,58.7
pos_022_create_note,prod,100.37,130.0,26.76
pos_023_read_all_notes,extreme,103.97,480.0,259.15
pos_023_read_all_notes,high,146.8,180.0,54.2
pos_023_read_all_notes,low,40.92,10.0,8.53
pos_023_read_all_notes,medium,100.8,97.0,25.7
pos_023_read_all_notes,prod,106.05,18.0,15.91
pos_024_read_note,extreme,136.76,400.0,148.67
pos_024_read_note,high,165.36,120.0,26.39
pos_024_read_note,low,41.86,10.0,8.08
pos_024_read_note,medium,102.58,41.0,21.28
pos_024_read_note,prod,106.84,13.0,11.92
pos_025_update_note,extreme,102.03,470.0,267.64
pos_025_update_note,high,135.06,220.0,76.36
pos_025_update_note,low,41.02,13.0,11.28
pos_025_update_note,medium,92.06,290.0,47.12
pos_025_update_note,prod,98.07,200.0,32.36
pos_026_delete_note,extreme,234.94,260.0,135.91
pos_026_delete_note,high,215.39,260.0,106.4
pos_026_delete_note,low,109.22,18.0,12.61
pos_026_delete_note,medium,103.94,460.0,151.28
pos_026_delete_note,prod,113.01,440.0,134.08
pos_029_create_user,extreme,2.99,21000.0,14736.37
pos_029_create_user,high,3.02,16000.0,11423.03
pos_029_create_user,low,3.05,3700.0,2495.41
pos_029_create_user,medium,3.31,10000.0,6197.08
pos_029_create_user,prod,3.01,11000.0,6830.73
pos_030_create_user,extreme,2.94,23000.0,14811.67
pos_030_create_user,high,3.01,18000.0,11255.78
pos_030_create_user,low,3.16,3600.0,2461.17
pos_030_create_user,medium,3.34,8700.0,6220.0
pos_030_create_user,prod,3.06,11000.0,6880.16
pos_031_login,extreme,3.11,19000.0,14103.45
pos_031_login,high,3.14,15000.0,10820.34
pos_031_login,low,3.15,4000.0,2459.69
pos_031_login,medium,3.46,8600.0,5999.85
pos_031_login,prod,2.97,9300.0,7010.04
pos_032_login,extreme,3.13,19000.0,14128.74
pos_032_login,high,3.15,14000.0,10907.8
pos_032_login,low,3.04,3700.0,2465.35
pos_032_login,medium,3.45,9100.0,6061.1
pos_032_login,prod,3.12,9200.0,6706.95
pos_033_register,extreme,3.01,22000.0,14720.92
pos_033_register,high,3.02,15000.0,11382.13
pos_033_register,low,3.1,3400.0,2455.61
pos_033_register,medium,3.36,9600.0,6197.65
pos_033_register,prod,3.06,11000.0,6839.32
pos_034_create_post,extreme,90.56,390.0,326.2
pos_034_create_post,high,77.82,450.0,280.4
pos_034_create_post,low,37.07,120.0,32.17
pos_034_create_post,medium,93.23,120.0,44.83
pos_034_create_post,prod,62.78,320.0,160.99
pos_035_list_users,extreme,3.41,31000.0,10576.16
pos_035_list_users,high,4.4,31000.0,7141.24
pos_035_list_users,low,35.69,71.0,38.44
pos_035_list_users,medium,62.91,280.0,160.12
pos_035_list_users,prod,28.81,330.0,588.96
pos_036_user_tx_storage,extreme,2.04,59000.0,15330.39
pos_036_user_tx_storage,high,1.55,60000.0,20245.87
pos_036_user_tx_storage,low,6.89,1500.0,1016.91
pos_036_user_tx_storage,medium,3.16,32000.0,6729.63
pos_036_user_tx_storage,prod,6.28,4100.0,3256.27
pos_037_transaction_manager,extreme,1.3,60000.0,25619.34
pos_037_transaction_manager,high,1.51,60000.0,19885.58
pos_037_transaction_manager,low,6.96,1600.0,1000.54
pos_037_transaction_manager,medium,3.23,32000.0,6478.55
pos_037_transaction_manager,prod,2.49,32000.0,8262.54
pos_038_flusher,extreme,1.24,60000.0,27107.56
pos_038_flusher,high,1.6,60000.0,20048.88
pos_038_flusher,low,7.02,1500.0,1008.92
pos_038_flusher,medium,6.02,4500.0,3437.77
pos_038_flusher,prod,3.3,32000.0,6150.48
pos_039_create_user,extreme,1.24,60000.0,27813.78
pos_039_create_user,high,1.57,60000.0,18731.4
pos_039_create_user,low,6.95,1500.0,1013.18
pos_039_create_user,medium,5.93,4100.0,3494.91
pos_039_create_user,prod,6.21,3900.0,3338.19
pos_040_activate_user,extreme,61.24,130.0,394.24
pos_040_activate_user,high,3.73,59000.0,8751.24
pos_040_activate_user,low,73.3,31.0,17.97
pos_040_activate_user,medium,8.51,30000.0,2349.15
pos_040_activate_user,prod,40.66,340.0,449.41
pos_041_set_user_password,extreme,3.45,32000.0,8772.9
pos_041_set_user_password,high,1.38,60000.0,21664.01
pos_041_set_user_password,low,6.96,1500.0,1023.35
pos_041_set_user_password,medium,5.94,5000.0,3508.59
pos_041_set_user_password,prod,2.25,31000.0,7951.2
pos_042_list_users,extreme,14.54,30000.0,2168.19
pos_042_list_users,high,5.15,30000.0,6495.34
pos_042_list_users,low,41.05,12.0,10.47
pos_042_list_users,medium,37.36,330.0,397.19
pos_042_list_users,prod,44.24,130.0,313.56
pos_043_create_user,extreme,1.2,60000.0,28231.93
pos_043_create_user,high,1.48,60000.0,20842.17
pos_043_create_user,low,6.96,1500.0,1005.46
pos_043_create_user,medium,5.99,4800.0,3463.19
pos_043_create_user,prod,3.34,32000.0,6310.53
pos_044_list_users,extreme,23.42,340.0,1340.33
pos_044_list_users,high,5.4,31000.0,5800.36
pos_044_list_users,low,40.65,13.0,10.85
pos_044_list_users,medium,85.5,170.0,51.69
pos_044_list_users,prod,100.91,46.0,24.43
pos_045_log_in,extreme,1.95,58000.0,20627.49
pos_045_log_in,high,1.82,58000.0,16520.62
pos_045_log_in,low,13.4,1600.0,522.34
pos_045_log_in,medium,2.69,32000.0,5606.79
pos_045_log_in,prod,2.96,31000.0,5349.89
pos_046_list_articles,extreme,18.22,4300.0,2440.79
pos_046_list_articles,high,21.62,2700.0,1583.5
pos_046_list_articles,low,15.73,820.0,420.47
pos_046_list_articles,medium,16.35,2400.0,1237.5
pos_046_list_articles,prod,18.58,1900.0,1088.74
pos_047_articles_feed,extreme,40.32,1200.0,983.38
pos_047_articles_feed,high,50.49,680.0,542.67
pos_047_articles_feed,low,31.56,150.0,78.89
pos_047_articles_feed,medium,44.94,460.0,308.32
pos_047_articles_feed,prod,41.54,500.0,350.92
pos_048_favorite_article,extreme,51.26,1000.0,792.88
pos_048_favorite_article,high,61.5,670.0,462.47
pos_048_favorite_article,low,46.44,77.0,43.84
pos_048_favorite_article,medium,46.8,640.0,356.52
pos_048_favorite_article,prod,39.24,920.0,462.07
pos_049_unfavorite_article,extreme,39.65,1200.0,992.78
pos_049_unfavorite_article,high,48.96,700.0,561.23
pos_049_unfavorite_article,low,31.77,130.0,72.51
pos_049_unfavorite_article,medium,43.95,430.0,316.72
pos_049_unfavorite_article,prod,40.62,490.0,358.38
pos_050_create_article,extreme,44.72,1200.0,862.81
pos_050_create_article,high,53.45,670.0,496.03
pos_050_create_article,low,30.9,230.0,76.84
pos_050_create_article,medium,46.87,480.0,282.41
pos_050_create_article,prod,44.39,400.0,309.26
pos_052_create_comment,extreme,38.91,1500.0,1103.1
pos_052_create_comment,high,43.64,1100.0,732.94
pos_052_create_comment,low,39.95,150.0,81.92
pos_052_create_comment,medium,36.12,760.0,515.22
pos_052_create_comment,prod,31.32,990.0,626.59
pos_053_fetch_sales,extreme,8.96,1100.0,2327.44
pos_053_fetch_sales,high,31.12,610.0,833.71
pos_053_fetch_sales,low,38.58,33.0,20.03
pos_053_fetch_sales,medium,81.86,140.0,77.45
pos_053_fetch_sales,prod,59.37,270.0,180.54
pos_054_get_product_by_id,extreme,218.63,30.0,14.91
pos_054_get_product_by_id,high,113.15,21.0,129.21
pos_054_get_product_by_id,low,41.21,8.0,6.68
pos_054_get_product_by_id,medium,108.79,9.0,6.44
