target_method,env,requests_per_sec,p95_latency_ms,avg_latency_ms
pos_091_get_user_books,extreme,122.42,330.0,189.13
pos_091_get_user_books,high,63.78,660.0,385.16
pos_091_get_user_books,low,39.32,44.0,23.52
pos_091_get_user_books,medium,55.58,560.0,207.69
pos_091_get_user_books,prod,73.02,450.0,112.02
pos_092_get_user_by_email,extreme,4.32,21000.0,10230.55
pos_092_get_user_by_email,high,3.2,17000.0,10539.95
pos_092_get_user_by_email,low,3.76,5000.0,2027.25
pos_092_get_user_by_email,medium,3.53,12000.0,5921.78
pos_092_get_user_by_email,prod,3.85,11000.0,5447.76
pos_093_get_tags,extreme,123.9,320.0,184.01
pos_093_get_tags,high,63.19,690.0,389.49
pos_093_get_tags,low,38.35,44.0,23.36
pos_093_get_tags,medium,54.92,560.0,212.38
pos_093_get_tags,prod,72.0,450.0,114.12
pos_094_create_access_token,extreme,4.28,17000.0,10351.57
pos_094_create_access_token,high,2.88,22000.0,11820.62
pos_094_create_access_token,low,3.92,4800.0,1865.68
pos_094_create_access_token,medium,3.58,12000.0,5822.48
pos_094_create_access_token,prod,3.8,12000.0,5490.11
pos_095_decode_token,extreme,224.51,3.0,12.02
pos_095_decode_token,high,168.7,15.0,20.57
pos_095_decode_token,low,40.74,4.0,10.25
pos_095_decode_token,medium,104.87,4.0,14.7
pos_095_decode_token,prod,106.63,3.0,12.7
pos_096_create_url_safe_token,extreme,4.25,19000.0,10427.92
pos_096_create_url_safe_token,high,3.06,16000.0,11090.43
pos_096_create_url_safe_token,low,3.72,6000.0,1905.3
pos_096_create_url_safe_token,medium,3.49,12000.0,6004.19
pos_096_create_url_safe_token,prod,3.79,12000.0,5466.41
pos_097_create_book,extreme,13.78,6900.0,3170.92
pos_097_create_book,high,11.98,5500.0,2764.5
pos_097_create_book,low,26.93,330.0,121.6
pos_097_create_book,medium,15.95,2300.0,1195.15
pos_097_create_book,prod,18.21,2100.0,1027.08
pos_098_create_user,extreme,3.82,19000.0,11655.97
pos_098_create_user,high,3.41,15000.0,10067.0
pos_098_create_user,low,3.25,6700.0,2361.18
pos_098_create_user,medium,3.18,13000.0,6515.13
pos_098_create_user,prod,3.12,10000.0,6556.11
pos_099_add_review,extreme,11.72,7900.0,3743.23
pos_099_add_review,high,9.87,6400.0,3470.7
pos_099_add_review,low,21.26,440.0,203.56
pos_099_add_review,medium,12.32,2800.0,1607.18
pos_099_add_review,prod,13.87,3000.0,1404.32
pos_101_add_tags_to_book_svc,extreme,16.24,5600.0,2671.34
pos_101_add_tags_to_book_svc,high,14.41,4600.0,2318.94
pos_101_add_tags_to_book_svc,low,27.87,290.0,108.19
pos_101_add_tags_to_book_svc,medium,18.07,1800.0,1049.35
pos_101_add_tags_to_book_svc,prod,21.39,1500.0,857.35
pos_102_add_tag,extreme,113.88,360.0,217.61
pos_102_add_tag,high,58.18,750.0,442.09
pos_102_add_tag,low,37.18,150.0,30.29
pos_102_add_tag,medium,50.13,600.0,253.18
pos_102_add_tag,prod,70.15,480.0,121.69
pos_103_create_book_ctrl,extreme,13.49,6700.0,3217.47
pos_103_create_book_ctrl,high,11.93,6300.0,2816.43
pos_103_create_book_ctrl,low,25.87,360.0,130.88
pos_103_create_book_ctrl,medium,15.87,2300.0,1201.89
pos_103_create_book_ctrl,prod,18.1,2100.0,1029.52
pos_104_update_book,extreme,89.35,510.0,333.47
pos_104_update_book,high,38.53,1500.0,767.85
pos_104_update_book,low,35.69,180.0,41.63
pos_104_update_book,medium,38.72,730.0,384.8
pos_104_update_book,prod,43.72,640.0,321.04
pos_105_signup_ctrl,extreme,4.23,21000.0,10429.05
pos_105_signup_ctrl,high,3.17,16000.0,10784.14
pos_105_signup_ctrl,low,3.96,5900.0,1882.96
pos_105_signup_ctrl,medium,3.42,12000.0,5918.92
pos_105_signup_ctrl,prod,3.68,12000.0,5555.71
pos_106_login_ctrl,extreme,4.22,21000.0,10467.39
pos_106_login_ctrl,high,3.14,18000.0,10848.69
pos_106_login_ctrl,low,4.07,3000.0,1873.93
pos_106_login_ctrl,medium,3.61,12000.0,5781.62
pos_106_login_ctrl,prod,3.79,11000.0,5460.92
pos_107_add_review_ctrl,extreme,11.5,8400.0,3811.98
pos_107_add_review_ctrl,high,9.96,6200.0,3437.0
pos_107_add_review_ctrl,low,22.14,380.0,190.2
pos_107_add_review_ctrl,medium,12.92,2700.0,1535.95
pos_107_add_review_ctrl,prod,15.22,2400.0,1260.44
pos_108_add_tags_to_book_ctrl,extreme,15.95,5800.0,2713.25
pos_108_add_tags_to_book_ctrl,high,14.51,4200.0,2330.84
pos_108_add_tags_to_book_ctrl,low,27.9,270.0,106.7
pos_108_add_tags_to_book_ctrl,medium,18.74,1700.0,1003.6
pos_108_add_tags_to_book_ctrl,prod,21.33,1500.0,862.81
pos_109_clubs_search,extreme,181.31,150.0,62.08
pos_109_clubs_search,high,165.44,75.0,25.58
pos_109_clubs_search,low,40.65,25.0,10.45
pos_109_clubs_search,medium,102.74,53.0,20.05
pos_109_clubs_search,prod,109.14,16.0,7.45
pos_110_competitions_search,extreme,221.94,38.0,13.56
pos_110_competitions_search,high,146.4,130.0,53.83
pos_110_competitions_search,low,40.04,28.0,12.37
pos_110_competitions_search,medium,103.35,49.0,18.71
pos_110_competitions_search,prod,103.77,32.0,16.17
pos_111_player_transfers,extreme,55.46,910.0,654.92
pos_111_player_transfers,high,54.03,740.0,487.82
pos_111_player_transfers,low,37.55,64.0,27.11
pos_111_player_transfers,medium,55.61,340.0,205.89
pos_111_player_transfers,prod,53.63,350.0,218.52
pos_112_player_stats,extreme,26.91,2200.0,1560.37
pos_112_player_stats,high,24.97,2100.0,1284.77
pos_112_player_stats,low,23.64,310.0,157.12
pos_112_player_stats,medium,28.08,900.0,606.31
pos_112_player_stats,prod,27.39,950.0,621.01
pos_113_player_profile,extreme,107.27,370.0,243.39
pos_113_player_profile,high,106.95,260.0,148.65
pos_113_player_profile,low,37.75,44.0,22.66
pos_113_player_profile,medium,87.78,160.0,56.45
pos_113_player_profile,prod,104.41,40.0,15.45
pos_114_player_xpath,extreme,109.96,350.0,233.08
pos_114_player_xpath,high,109.75,250.0,138.73
pos_114_player_xpath,low,39.04,49.0,21.86
pos_114_player_xpath,medium,86.75,200.0,60.35
pos_114_player_xpath,prod,104.56,42.0,15.46
pos_115_clubs_search_service,extreme,180.57,150.0,62.76
pos_115_clubs_search_service,high,164.21,76.0,25.9
pos_115_clubs_search_service,low,40.68,15.0,7.9
pos_115_clubs_search_service,medium,99.16,91.0,28.84
pos_115_clubs_search_service,prod,108.95,15.0,7.22
pos_116_competitions_search_service,extreme,175.26,160.0,71.22
pos_116_competitions_search_service,high,161.32,87.0,30.18
pos_116_competitions_search_service,low,39.41,27.0,13.77
pos_116_competitions_search_service,medium,100.91,69.0,23.39
pos_116_competitions_search_service,prod,108.57,17.0,7.84
pos_117_player_profile_service,extreme,144.1,230.0,129.96
pos_117_player_profile_service,high,173.0,40.0,14.38
pos_117_player_profile_service,low,41.83,10.0,6.81
pos_117_player_profile_service,medium,105.16,38.0,14.67
pos_117_player_profile_service,prod,97.62,88.0,31.27
pos_118_club_profile,extreme,113.64,340.0,218.25
pos_118_club_profile,high,113.42,250.0,128.15
pos_118_club_profile,low,40.21,23.0,11.76
pos_118_club_profile,medium,89.79,160.0,50.28
pos_118_club_profile,prod,105.07,41.0,15.1
pos_119_player_market_value,extreme,227.07,20.0,8.97
pos_119_player_market_value,high,180.16,14.0,6.69
pos_119_player_market_value,low,41.84,9.0,5.46
pos_119_player_market_value,medium,109.39,14.0,7.34
pos_119_player_market_value,prod,110.81,6.0,3.44
pos_120_player_transfers_service,extreme,229.89,16.0,7.42
pos_120_player_transfers_service,high,180.74,11.0,5.51
pos_120_player_transfers_service,low,41.21,11.0,8.75
pos_120_player_transfers_service,medium,107.3,17.0,10.56
pos_120_player_transfers_service,prod,111.16,6.0,3.5
pos_121_player_stats_service,extreme,229.64,16.0,6.75
pos_121_player_stats_service,high,180.23,12.0,5.68
pos_121_player_stats_service,low,40.71,19.0,8.33
pos_121_player_stats_service,medium,109.06,12.0,6.13
pos_121_player_stats_service,prod,104.31,31.0,15.96
pos_122_player_profile_ctrl,extreme,107.91,360.0,240.72
pos_122_player_profile_ctrl,high,110.25,250.0,136.96
pos_122_player_profile_ctrl,low,37.62,100.0,23.31
pos_122_player_profile_ctrl,medium,90.55,150.0,48.67
pos_122_player_profile_ctrl,prod,105.62,36.0,13.73
pos_123_player_market_value_ctrl,extreme,227.91,21.0,9.11
pos_123_player_market_value_ctrl,high,179.12,14.0,6.99
pos_123_player_market_value_ctrl,low,41.53,11.0,5.97
pos_123_player_market_value_ctrl,medium,106.37,24.0,11.67
pos_123_player_market_value_ctrl,prod,110.42,8.0,4.24
pos_124_player_transfers_ctrl,extreme,228.23,17.0,8.1
pos_124_player_transfers_ctrl,high,181.16,12.0,6.22
pos_124_player_transfers_ctrl,low,42.04,8.0,4.76
pos_124_player_transfers_ctrl,medium,107.14,24.0,10.92
pos_124_player_transfers_ctrl,prod,110.82,6.0,3.22
pos_125_player_stats_ctrl,extreme,222.38,35.0,13.54
pos_125_player_stats_ctrl,high,178.11,20.0,8.77
pos_125_player_stats_ctrl,low,40.97,12.0,6.3
pos_125_player_stats_ctrl,medium,105.5,24.0,13.43
pos_125_player_stats_ctrl,prod,110.07,8.0,4.71
pos_126_competitions_search_ctrl,extreme,158.63,220.0,99.83
pos_126_competitions_search_ctrl,high,174.82,32.0,12.63
pos_126_competitions_search_ctrl,low,40.54,12.0,7.33
pos_126_competitions_search_ctrl,medium,109.48,9.0,5.12
pos_126_competitions_search_ctrl,prod,108.9,17.0,7.46
pos_127_competition_clubs,extreme,228.35,19.0,8.41
pos_127_competition_clubs,high,180.42,13.0,6.34
pos_127_competition_clubs,low,41.7,8.0,5.23
pos_127_competition_clubs,medium,107.64,17.0,9.13
pos_127_competition_clubs,prod,111.07,7.0,3.81
pos_128_players_search_ctrl,extreme,171.12,180.0,78.06
pos_128_players_search_ctrl,high,159.76,93.0,32.86
pos_128_players_search_ctrl,low,40.68,16.0,8.86
pos_128_players_search_ctrl,medium,100.87,62.0,22.59
pos_128_players_search_ctrl,prod,108.6,19.0,8.43
