variant,pos,method,env,p95_latency_ms,avg_latency_ms,requests_per_sec,error_rate_percent,total_requests,total_failures
v1,001,pos_001_post_add_article,extreme,400,239.89,108.85,0.0,13066,0
v1,001,pos_001_post_add_article,high,490,266.55,80.35,0.0,7234,0
v1,001,pos_001_post_add_article,low,210,32.4,37.4,0.0,1123,0
v1,001,pos_001_post_add_article,medium,390,75.07,83.12,0.0,4989,0
v1,001,pos_001_post_add_article,prod,600,131.93,68.45,0.0,4110,0
v1,002,pos_002_get_list_by_filters,extreme,490,310.96,93.26,0.0,11195,0
v1,002,pos_002_get_list_by_filters,high,540,321.72,71.74,0.0,6460,0
v1,002,pos_002_get_list_by_filters,low,210,33.11,37.41,0.09,1122,1
v1,002,pos_002_get_list_by_filters,medium,390,82.08,80.91,0.0,4858,0
v1,002,pos_002_get_list_by_filters,prod,490,154.31,64.61,0.0,3879,0
v1,003,pos_003_post_article_add_many_tag,extreme,450,319.02,91.97,0.0,11040,0
v1,003,pos_003_post_article_add_many_tag,high,570,364.51,66.33,0.0,5967,0
v1,003,pos_003_post_article_add_many_tag,low,250,46.11,35.45,0.0,1065,0
v1,003,pos_003_post_article_add_many_tag,medium,490,133.96,68.09,0.0,4088,0
v1,003,pos_003_post_article_add_many_tag,prod,640,272.64,48.45,0.0,2909,0
v1,004,pos_004_get_articles_favorite_exists,extreme,450,317.64,92.51,0.0,11105,0
v1,004,pos_004_get_articles_favorite_exists,high,540,365.96,66.16,0.0,5948,0
v1,004,pos_004_get_articles_favorite_exists,low,240,42.21,35.39,0.0,1063,0
v1,004,pos_004_get_articles_favorite_exists,medium,480,139.47,67.71,0.0,4065,0
v1,004,pos_004_get_articles_favorite_exists,prod,790,239.73,51.45,0.0,3089,0
v1,005,pos_005_post_article_comment_into_repository,extreme,400,248.33,106.56,0.0,12791,0
v1,005,pos_005_post_article_comment_into_repository,high,480,271.29,79.5,0.0,7158,0
v1,005,pos_005_post_article_comment_into_repository,low,210,31.74,37.98,0.0,1141,0
v1,005,pos_005_post_article_comment_into_repository,medium,320,66.42,85.81,0.0,5148,0
v1,005,pos_005_post_article_comment_into_repository,prod,620,133.74,68.24,0.0,4097,0
v1,006,pos_006_get_follower_list,extreme,380,211.44,116.23,0.0,13944,0
v1,006,pos_006_get_follower_list,high,420,193.72,95.26,0.0,8577,0
v1,006,pos_006_get_follower_list,low,250,33.26,37.82,0.09,1134,1
v1,006,pos_006_get_follower_list,medium,330,61.65,86.98,0.0,5221,0
v1,006,pos_006_get_follower_list,prod,390,98.38,76.4,0.0,4576,0
v1,007,pos_007_post_create_follow_in_repository,extreme,250,168.56,177.54,0.0,21312,0
v1,007,pos_007_post_create_follow_in_repository,high,430,234.8,111.17,0.0,10010,0
v1,007,pos_007_post_create_follow_in_repository,low,160,34.5,63.82,0.0,1917,0
v1,007,pos_007_post_create_follow_in_repository,medium,470,209.56,73.1,0.0,4389,0
v1,007,pos_007_post_create_follow_in_repository,prod,630,287.87,58.13,0.0,3487,0
v1,008,pos_008_post_create_new_article,extreme,380,233.97,109.98,0.0,13202,0
v1,008,pos_008_post_create_new_article,high,460,254.49,82.66,0.0,7423,0
v1,008,pos_008_post_create_new_article,low,220,33.71,37.44,0.09,1123,1
v1,008,pos_008_post_create_new_article,medium,320,62.37,86.89,0.0,5217,0
v1,008,pos_008_post_create_new_article,prod,450,130.6,68.87,0.0,4135,0
v1,009,pos_009_delete_article_by_slug,extreme,420,222.58,147.54,2.09,17709,371
v1,009,pos_009_delete_article_by_slug,high,510,263.37,102.59,1.69,9237,156
v1,009,pos_009_delete_article_by_slug,low,150,31.84,65.6,1.37,1968,27
v1,009,pos_009_delete_article_by_slug,medium,410,154.34,89.15,1.74,5353,93
v1,009,pos_009_delete_article_by_slug,prod,640,230.62,68.57,2.21,4117,91
v1,010,pos_010_post_sign_in_user,extreme,22000,8890.54,4.92,1.53,590,9
v1,010,pos_010_post_sign_in_user,high,18000,7685.84,4.46,0.75,401,3
v1,010,pos_010_post_sign_in_user,low,2900,1773.83,4.3,0.0,127,0
v1,010,pos_010_post_sign_in_user,medium,6700,4615.21,4.52,0.0,271,0
v1,010,pos_010_post_sign_in_user,prod,7300,4997.39,4.19,0.0,240,0
v1,011,pos_011_post_create_user,extreme,22000,9164.71,4.82,0.69,578,4
v1,011,pos_011_post_create_user,high,15000,7841.9,4.37,0.0,393,0
v1,011,pos_011_post_create_user,low,3500,1855.53,4.15,0.0,121,0
v1,011,pos_011_post_create_user,medium,6900,4708.63,4.45,0.0,265,0
v1,011,pos_011_post_create_user,prod,7600,5168.01,4.04,0.0,242,0
v1,012,pos_012_post_follow_user,extreme,240,162.84,181.52,0.0,21791,0
v1,012,pos_012_post_follow_user,high,370,214.01,119.02,0.0,10717,0
v1,012,pos_012_post_follow_user,low,190,44.18,59.78,0.06,1792,1
v1,012,pos_012_post_follow_user,medium,480,201.81,75.36,0.0,4525,0
v1,012,pos_012_post_follow_user,prod,590,255.43,63.92,0.0,3838,0
v1,013,pos_013_get_article_comments,extreme,430,306.44,94.48,0.0,11321,0
v1,013,pos_013_get_article_comments,high,540,348.68,68.28,0.0,6144,0
v1,013,pos_013_get_article_comments,low,240,43.66,35.57,0.0,1068,0
v1,013,pos_013_get_article_comments,medium,470,110.85,73.52,0.0,4414,0
v1,013,pos_013_get_article_comments,prod,790,235.31,52.42,0.0,3147,0
